Region,Year,Efficiency,Diversification,Quality,Internationalization,Time,IPI
Ecuador,2017,1.7580367612811938,0.7708333333333334,1.5277777777777777,1.4722222222222223,3.826388888888889,9.355258983503417
Ecuador,2018,2.6254848030618985,0.9722222222222222,2.587962962962963,1.625,5.722222222222222,13.532892210469306
Ecuador,2019,1.8957083785302802,0.9748427672955975,2.339622641509434,1.4528301886792452,4.477987421383648,11.140991397398203
Ecuador,2020,2.1108817886891487,1.4878048780487805,2.591463414634146,1.7317073170731707,5.737804878048781,13.659662276494027
Ecuador,2021,1.6874693496042366,1.4863013698630136,1.0205479452054795,1.3630136986301369,3.4178082191780823,8.97514058248095
Ecuador,2022,1.974258169656174,0.867816091954023,1.4597701149425288,1.2873563218390804,1.9885057471264367,7.577706445518244
Ecuador,2023,1.0907375578610974,1.4329896907216495,0.9690721649484536,1.134020618556701,1.134020618556701,5.760840650644603
Belarus,2017,3.9455452255191616,2.3118811881188117,6.618811881188119,1.495049504950495,14.306930693069306,28.678218492845893
Belarus,2018,3.607857993140756,2.369565217391304,7.081521739130435,1.6630434782608696,14.451086956521738,29.173075384445102
Belarus,2019,3.5040763431931743,2.4269662921348316,6.634831460674158,1.6292134831460674,11.870786516853933,26.06587409600216
Belarus,2020,2.894188469553137,2.363013698630137,8.801369863013699,2.335616438356164,15.13013698630137,31.52432545585451
Belarus,2021,2.093776876368059,2.780952380952381,10.17142857142857,2.2095238095238097,14.276190476190477,31.531872114463297
Belarus,2022,1.3016856829594325,2.8,11.615384615384615,2.5846153846153848,14.76923076923077,33.070916452190204
Belarus,2023,0.6450471065807303,3.4375,71.9375,1.71875,4.625,82.36379710658073
Tunicia,2017,4.0444980945388265,1.6449704142011834,4.538461538461538,1.3076923076923077,3.710059171597633,15.24568152649149
Tunicia,2018,4.233129374184141,1.9269662921348314,3.7134831460674156,1.8764044943820224,8.55056179775281,20.30054510452122
Tunicia,2019,4.4332502256123485,2.00531914893617,5.180851063829787,1.4734042553191489,5.191489361702128,18.284314055399584
Tunicia,2020,4.10962523153335,2.1607142857142856,4.113095238095238,1.5773809523809523,4.654761904761905,16.61557761248573
Tunicia,2021,3.4330007593700977,2.091549295774648,2.7746478873239435,1.5070422535211268,4.908450704225352,14.714690900215167
Tunicia,2022,3.8992587509114514,1.9529411764705882,2.823529411764706,1.4058823529411764,3.3823529411764706,13.463964633264393
Tunicia,2023,3.3518449656975786,2.0671140939597317,1.912751677852349,1.389261744966443,2.0738255033557045,10.794797985831808
Uruguay,2017,7.996152642527107,2.5107913669064748,15.482014388489208,5.640287769784172,32.97122302158273,64.6004691892897
Uruguay,2018,9.221041032479965,2.53125,15.1125,4.775,27.80625,59.44604103247996
Uruguay,2019,7.686082054088221,2.4776119402985075,13.350746268656716,4.052238805970149,24.12686567164179,51.69354474065538
Uruguay,2020,6.114505090177077,2.883495145631068,15.067961165048544,5.165048543689321,27.262135922330096,56.493145866876105
Uruguay,2021,7.132823528193636,2.306451612903226,13.491935483870968,4.82258064516129,17.403225806451612,45.15701707658073
Uruguay,2022,7.711527190844875,2.3185185185185184,7.992592592592593,3.4518518518518517,11.525925925925925,33.00041607973377
Uruguay,2023,4.957408537220843,2.3863636363636362,7.693181818181818,4.159090909090909,11.5,30.696044900857206
Vietnam,2017,0.11272916862692692,3.467741935483871,17.70967741935484,5.32258064516129,31.06451612903226,57.677245297659184
Vietnam,2018,0.13213598102947252,3.0136986301369864,12.452054794520548,4.36986301369863,26.28767123287671,46.25542365226235
Vietnam,2019,0.19506829412562035,2.8990825688073394,11.788990825688073,3.908256880733945,20.93577981651376,39.72717838586874
Vietnam,2020,0.2301288529802645,3.3015873015873014,11.357142857142858,2.7222222222222223,14.825396825396826,32.436478059329474
Vietnam,2021,0.2780053201859954,3.6143790849673203,10.071895424836601,2.9215686274509802,15.96078431372549,32.846632771166384
Vietnam,2022,0.2424180521935763,3.3777777777777778,7.9037037037037035,1.9777777777777779,8.125925925925927,21.627603237378764
Vietnam,2023,0.28673512381667887,2.62111801242236,10.136645962732919,1.9627329192546583,7.055900621118012,22.06313263934463
